Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"14 Feb 2024"
"All datapoints provided as of end of last active trading day."
1000MERCIS;FR0010285965;ALMIL;"Euronext Growth Paris";EUR;25.60;25.60;25.60;25.60;"13/02/2024 12:26";CET;29;742.40;25.60;14/02/2024
2CRSI;FR0013341781;AL2SI;"Euronext Growth Paris";EUR;4.32;4.60;4.25;4.36;"14/02/2024 17:35";CET;83123;363508.63;4.36;14/02/2024
"A.S.T. GROUPE";FR0000076887;ALAST;"Euronext Growth Paris";EUR;0.992;1.01;0.992;1.01;"14/02/2024 16:17";CET;351;351.992;1.01;14/02/2024
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;3.25;3.45;3.25;3.44;"14/02/2024 17:35";CET;91001;308780.065;3.44;14/02/2024
"ABC ARBITRAGE";FR0004040608;ABCA;"Euronext Paris";EUR;4.03;4.065;3.915;3.93;"14/02/2024 17:35";CET;167562;665781.585;3.93;14/02/2024
ABEO;FR0013185857;ABEO;"Euronext Paris";EUR;13.15;13.20;13.15;13.20;"14/02/2024 14:21";CET;147;1940.35;13.20;14/02/2024
"ABIONYX PHARMA";FR0012616852;ABNX;"Euronext Paris";EUR;1.14;1.254;1.14;1.234;"14/02/2024 17:35";CET;140426;170163.824;1.234;14/02/2024
ABIVAX;FR0012333284;ABVX;"Euronext Paris";EUR;11.36;11.46;11.04;11.32;"14/02/2024 17:35";CET;16693;187775.82;11.32;14/02/2024
"ABL Diagnostics";FR001400AHX6;ABLD;"Euronext Paris";EUR;9.70;9.70;9.70;9.70;"13/10/2023 11:30";CET;15;145.50;9.70;14/02/2024
"ABO GROUP";BE0974278104;ABO;"Euronext Brussels, Paris";EUR;6.00;6.00;6.00;6.00;"14/02/2024 09:50";CET;2;12.00;6.00;14/02/2024
"ACANTHE DEV.";FR0000064602;ACAN;"Euronext Paris";EUR;0.39;0.39;0.39;0.39;"14/02/2024 15:43";CET;9301;3627.39;0.39;14/02/2024
ACCOR;FR0000120404;AC;"Euronext Paris";EUR;37.07;37.39;37.07;37.24;"14/02/2024 17:35";CET;712670;26550164.72;37.24;14/02/2024
ACHETER-LOUER.FR;FR001400JAP8;ALALO;"Euronext Growth Paris";EUR;0.0007;0.0008;0.0007;0.0007;"14/02/2024 17:35";CET;33535668;23899.4068;0.0007;14/02/2024
ACTEOS;FR0000076861;EOS;"Euronext Paris";EUR;1.285;1.305;1.25;1.305;"14/02/2024 15:19";CET;1116;1429.245;1.305;14/02/2024
