Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"28 Jan 2024"
"All datapoints provided as of end of last active trading day."
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;3.81;4.00;3.77;3.85;"26/01/2024 17:35";CET;259742;1003949.65;3.85;26/01/2024
"ABC ARBITRAGE";FR0004040608;ABCA;"Euronext Paris";EUR;4.435;4.48;4.42;4.435;"26/01/2024 17:35";CET;39705;176514.755;4.435;26/01/2024
ABEO;FR0013185857;ABEO;"Euronext Paris";EUR;14.90;14.90;13.50;14.60;"26/01/2024 17:36";CET;3068;43714.35;14.60;26/01/2024
"ABIONYX PHARMA";FR0012616852;ABNX;"Euronext Paris";EUR;1.23;1.256;1.23;1.25;"26/01/2024 17:35";CET;15551;19215.692;1.25;26/01/2024
ABIVAX;FR0012333284;ABVX;"Euronext Paris";EUR;11.08;11.70;10.90;11.62;"26/01/2024 17:36";CET;37050;420751.42;11.62;26/01/2024
"ABL Diagnostics";FR001400AHX6;ABLD;"Euronext Paris";EUR;9.70;9.70;9.70;9.70;"13/10/2023 11:30";CET;15;145.50;9.70;26/01/2024
"ABO GROUP";BE0974278104;ABO;"Euronext Brussels, Paris";EUR;5.90;5.90;5.80;5.80;"25/01/2024 17:35";CET;165;958.50;5.80;26/01/2024
"ACANTHE DEV.";FR0000064602;ACAN;"Euronext Paris";EUR;0.392;0.394;0.382;0.394;"26/01/2024 15:55";CET;9236;3592.558;0.394;26/01/2024
ACCOR;FR0000120404;AC;"Euronext Paris";EUR;36.64;37.33;36.54;37.02;"26/01/2024 17:37";CET;826841;30640109.72;37.02;26/01/2024
ACTEOS;FR0000076861;EOS;"Euronext Paris";EUR;1.50;1.56;1.50;1.50;"26/01/2024 16:19";CET;5581;8484.29;1.50;26/01/2024
"ADC SIIC";BE0974269012;ALDV;"Euronext Paris";EUR;0.066;0.066;0.066;0.066;"26/01/2024 16:30";CET;1308;86.328;0.066;26/01/2024
ADOCIA;FR0011184241;ADOC;"Euronext Paris";EUR;10.50;10.84;10.48;10.66;"26/01/2024 17:36";CET;90457;964568.62;10.66;26/01/2024
ADP;FR0010340141;ADP;"Euronext Paris";EUR;124.30;125.40;123.20;125.40;"26/01/2024 17:36";CET;135676;16982793.40;125.40;26/01/2024
ADUX;FR0012821890;ADUX;"Euronext Paris, Amsterdam";EUR;1.345;1.35;1.34;1.34;"26/01/2024 17:35";CET;688;923.66;1.34;26/01/2024
"AELIS FARMA";FR0014007ZB4;AELIS;"Euronext Paris";EUR;13.55;13.60;13.45;13.60;"26/01/2024 17:37";CET;102;1378.20;13.60;26/01/2024
"AERKOMM INC";US00774B2088;AKOM;"Euronext Paris";EUR;2.22;2.22;2.22;2.22;"08/12/2023 11:45";CET;30;66.60;2.22;26/01/2024
"AFFLUENT MED BSAR";FR001400FL38;AFMBS;"Euronext Paris";EUR;0.01;0.01;0.01;0.01;"26/01/2024 15:25";CET;1027;10.27;0.01;26/01/2024
"AFFLUENT MEDICAL";FR0013333077;AFME;"Euronext Paris";EUR;1.70;1.70;1.62;1.62;"26/01/2024 15:05";CET;152;252.40;1.62;26/01/2024
